TITLE: Bill of Materials
BOM NO: 05-066247-01-c.csv
DATE: 04/28/2023
DESIGN: 02_066247c_top
TEMPLATE: Z:\allegro\v174_site\cdssetup\template.bom
CALLOUT: C:\tmp\20_066247c\worklib\02_066247c_top\bom\bom.log.callouts

ITEM#,Qty,WW_PN,DESCRIPTION," VALUE",JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG," MFG_PN",HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
1,1,08_066247c,PCB,?,?,?,?,?,?,Analog Devices Supplied,08_066247c,N/A,?,?,?,?,?,?,?
2,1,E006617,HIGH PERF 145MHZ FAST FET OP AMP," AD8065ARTZ-R2",SOT23-5L,N/A,N/A,?,A2,ANALOG DEVICES," AD8065ARTZ-R2",REL,A999-8065-002,40901JH729,N/A,N/A,30-026101-01,?,?
3,1,E015367,CONN-PCB TEST POINT BLK," BLK",CNKEY5005-9TP,N/A,N/A,N/A,AGND3,KEYSTONE ELECTRONICS," 5006",REL,N/A,N/A,N/A,N/A,6001625,?,?
4,25,E038719,CAP CER 0.1uF 25V 10% X7R 0603," 0.1uF",C0603,10,25V,N/A,"C1,C2,C3,C4,C6,C13,C59,C87,C92,C94,C96,C98,C100,C102,C104,C106,C110,C112,C137,C138,C151,C153,C154,C163,C169",SAMSUNG," CL10B104KA8NNNC",REL,N/A,N/A,N/A,N/A,N/A,?,?
5,14,E035806,CAP CER 100pF 50V 10% X7R 0603," 100pF",C0603,10,50V,N/A,"C9,C10,C30,C86,C91,C93,C95,C97,C99,C101,C103,C105,C109,C167",YAGEO," CC0603KRX7R9BB101",REL,N/A,N/A,N/A,N/A,N/A,?,?
6,3,E006763,CAP CER 100pF 25V 10% X7R 0201," 100pF",C0201,10,25V,N/A,"C12,C62,C107",MURATA," GRM033R71E101KA01D",REL,A004-0030-004,N/A,N/A,528_CAB3,7002390,?,?
7,5,E024995,CAP CER 2.2uF 50V 10% X5R 0603," 2.2uF",C0603,10,50V,N/A,"C11,C108,C146,C173,C175",MURATA," GRM188R61H225KE11J",REL,N/A,N/A,N/A,N/A,N/A,?,?
8,6,E007982,CAP CER 10pF 50V 5% C0G 0402," 10pF",C0402,5,50V,N/A,"C16,C65,C74,C111,C131,C133",YAGEO," CC0402JRNPO9BN100",REL,A004-0011-015,N/A,N/A,146_BIN2-6A,7002459,?,?
9,7,E025798,CAP CER 0.1uF 25V 10% X7R 0402," 0.1uF",C0402,10,25V,N/A,"C60,C64,C67,C73,C113,C132,C136",MURATA," GRM155R71E104KE14D",REL,N/A,N/A,N/A,N/A,N/A,?,?
10,12,E023048,CAP CER 10uF 16V 10% X5R 0603," 10uF",C0603,10,16V,N/A,"C7,C8,C14,C114,C124,C129,C130,C143,C148,C164,C170,C174",MURATA," GRM188R61C106KAALD",REL,N/A,N/A,N/A,N/A,N/A,?,?
11,7,E022190,CAP CER 4.7uF 16V 10% X6S 0603," 4.7uF",C0603,10,16V,N/A,"C66,C68,C115,C118,C122,C145,C147",MURATA," GRM188C81C475KE11D",REL,N/A,N/A,N/A,N/A,N/A,?,?
12,3,E034502,CAP CER 0.01uF 25V 10% X7R 0603," 0.01uF",C0603,10,25V,N/A,"C29,C116,C166",SAMSUNG," CL10B103KA8NNNC",REL,N/A,N/A,N/A,N/A,N/A,?,?
13,24,E034224,CAP CER 1uF 50V 10% X5R 0603," 1uF",C0603,10,50V,N/A,"C5,C27,C28,C31,C32,C35,C36,C39,C40,C43,C44,C48,C76,C88,C117,C125,C126,C127,C128,C135,C141,C165,C171,C172",SAMSUNG," CL10A105KB8NNNC",REL,N/A,N/A,N/A,N/A,N/A,?,?
14,3,E034361,CAP CER 10pF 50V 5% C0G 0603," 10pF",C0603,5,50V,N/A,"C119,C150,C152",SAMSUNG," CL10C100JB8NNNC",REL,N/A,N/A,N/A,N/A,N/A,?,?
15,1,E034293,CAP CER 47uF 10V 10% X7R 0603," 47uF",C1210-2,10,10V,N/A,C120,TAIYO YUDEN," LMK325B7476KM-PR",REL,N/A,N/A,N/A,N/A,N/A,?,?
16,1,E044215,CAP CER 47NF 100V 10% X7R 0603 AEC-Q200," 47NF",C0603,10,100V,N/A,C121,KEMET," C0603C473K1RACAUTO",REL,N/A,N/A,N/A,N/A,N/A,?,?
17,4,E026208,CAP CER 22pF 50V 5% X7R 0603," 22pF",C0603,5,50V,N/A,"C23,C78,C83,C123",AVX CORPORATION," 06035C220JAT2A",REL,N/A,N/A,N/A,N/A,N/A,?,?
18,21,E007201,CAP CER 0.01uF 10V 10% X7R 0201," 0.01uF",C0201,10,10V,N/A,"C18,C20,C21,C22,C24,C25,C26,C47,C53,C54,C55,C56,C57,C58,C61,C63,C134,C155,C156,C157,C158",MURATA," GRM033R71A103KA01D",REL,ADD_TO_STOCK_237,N/A,N/A,1214_CAB3,7001953,?,?
19,1,E033226,CAP CER 100uF 10V 20% X5R 1210," 100uF",C1210H106,20,10V,N/A,C139,SAMSUNG," CL32A107MPVNNNE",REL,N/A,N/A,N/A,N/A,N/A,?,?
20,4,E042847,CAP CER 1NF 100V 10% X7R 0603," 1NF",C0603,10,100V,N/A,"C17,C19,C140,C144",AVX CORPORATION," 06031C102KAT2A",REL,N/A,N/A,N/A,N/A,N/A,?,?
21,1,E006534,CAP CER 22uF 6.3V 20% X5R 0805," 22uF",C0805H53,20,6.3V,N/A,C15,MURATA," GRM21BR60J226ME39L",REL,ADD_TO_STOCK_220,N/A,N/A,N/A,N/A,?,?
24,1,E024874,CAP CER 220pF 50V 5% C0G 0201," 220pF",C0201,5,50V,N/A,C69,MURATA," GRM0335C1H221JA01D",REL,N/A,N/A,N/A,532_CAB3,N/A,?,?
25,1,E026618,CAP CER 1uF 25V 10% X5R 0402," 1uF",C0402,10,25V,N/A,C70,TDK," C1005X5R1E105K050BC",REL,N/A,N/A,N/A,N/A,N/A,?,?
26,2,E039113,CAP CER 180pF 50V 5% C0G 0402," 180pF",C0402,5,50V,N/A,"C71,C75",SAMSUNG," CL05C181JB5NNNC",REL,N/A,N/A,N/A,N/A,N/A,?,?
